game_pk,date,game_number,doubleheader,home_away,opponent_abbrev,opponent_name,result,royals_runs,opponent_runs,innings,walk_off,royals_hits,royals_errors,opponent_hits,opponent_errors,win_pitcher,loss_pitcher,save_pitcher,royals_starter,royals_starter_ip,royals_starter_er,royals_wins_after,royals_losses_after,statpack
824946,2026-03-27,1,N,away,ATL,Atlanta Braves,L,0,6,9,False,,,,,,,,,,,0,1,
824945,2026-03-28,1,N,away,ATL,Atlanta Braves,L,2,6,9,False,,,,,,,,,,,0,2,
824944,2026-03-29,1,N,away,ATL,Atlanta Braves,W,4,1,9,False,,,,,,,,,,,1,2,
824135,2026-03-30,1,N,home,MIN,Minnesota Twins,W,3,1,9,False,,,,,,,,,,,2,2,
824136,2026-04-01,1,N,home,MIN,Minnesota Twins,W,13,9,9,False,,,,,,,,,,,3,2,
824133,2026-04-02,1,N,home,MIN,Minnesota Twins,L,1,5,9,False,,,,,,,,,,,3,3,
824132,2026-04-04,1,S,home,MIL,Milwaukee Brewers,L,2,5,9,False,,,,,,,,,,,3,4,
824134,2026-04-04,2,S,home,MIL,Milwaukee Brewers,W,8,2,9,False,,,,,,,,,,,4,4,
824131,2026-04-05,1,N,home,MIL,Milwaukee Brewers,L,5,8,9,False,,,,,,,,,,,4,5,
824456,2026-04-06,1,N,away,CLE,Cleveland Guardians,W,4,2,9,False,,,,,,,,,,,5,5,
824457,2026-04-07,1,N,away,CLE,Cleveland Guardians,L,1,2,9,False,,,,,,,,,,,5,6,
824455,2026-04-08,1,N,away,CLE,Cleveland Guardians,L,2,10,9,False,,,,,,,,,,,5,7,
824130,2026-04-09,1,N,home,CWS,Chicago White Sox,L,0,2,9,False,,,,,,,,,,,5,8,
824128,2026-04-10,1,N,home,CWS,Chicago White Sox,W,2,0,9,False,,,,,,,,,,,6,8,
824129,2026-04-11,1,N,home,CWS,Chicago White Sox,W,2,0,9,False,,,,,,,,,,,7,8,
824126,2026-04-12,1,N,home,CWS,Chicago White Sox,L,5,6,9,False,,,,,,,,,,,7,9,
824292,2026-04-14,1,N,away,DET,Detroit Tigers,L,1,2,9,False,,,,,,,,,,,7,10,
824291,2026-04-15,1,N,away,DET,Detroit Tigers,L,1,2,9,False,,,,,,,,,,,7,11,
824289,2026-04-16,1,N,away,DET,Detroit Tigers,L,9,10,9,False,,,,,,,,,,,7,12,
823559,2026-04-17,1,N,away,NYY,New York Yankees,L,2,4,9,False,,,,,,,,,,,7,13,
823558,2026-04-18,1,N,away,NYY,New York Yankees,L,4,13,9,False,,,,,,,,,,,7,14,
823556,2026-04-19,1,N,away,NYY,New York Yankees,L,0,7,9,False,,,,,,,,,,,7,15,
824125,2026-04-20,1,N,home,BAL,Baltimore Orioles,L,5,7,9,False,,,,,,,,,,,7,16,
824127,2026-04-21,1,N,home,BAL,Baltimore Orioles,W,6,5,9,False,,,,,,,,,,,8,16,
824123,2026-04-22,1,N,home,BAL,Baltimore Orioles,L,6,8,9,False,,,,,,,,,,,8,17,
824124,2026-04-24,1,N,home,LAA,Los Angeles Angels,W,6,3,9,False,,,,,,,,,,,9,17,
824121,2026-04-25,1,N,home,LAA,Los Angeles Angels,W,12,1,9,False,,,,,,,,,,,10,17,
824122,2026-04-26,1,N,home,LAA,Los Angeles Angels,W,11,9,9,False,,,,,,,,,,,11,17,
825017,2026-04-28,1,N,away,ATH,Athletics,W,4,1,9,False,,,,,,,,,,,12,17,
825015,2026-04-29,1,N,away,ATH,Athletics,L,2,5,9,False,,,,,,,,,,,12,18,
825016,2026-04-30,1,N,away,ATH,Athletics,L,3,6,9,False,,,,,,,,,,,12,19,
823146,2026-05-01,1,N,away,SEA,Seattle Mariners,W,7,6,9,False,,,,,,,,,,,13,19,
823144,2026-05-02,1,N,away,SEA,Seattle Mariners,W,3,2,9,False,,,,,,,,,,,14,19,
823145,2026-05-03,1,N,away,SEA,Seattle Mariners,W,4,1,9,False,,,,,,,,,,,15,19,
824120,2026-05-04,1,N,home,CLE,Cleveland Guardians,W,6,2,9,False,,,,,,,,,,,16,19,
824119,2026-05-05,1,N,home,CLE,Cleveland Guardians,W,5,3,9,False,,,,,,,,,,,17,19,
824118,2026-05-06,1,N,home,CLE,Cleveland Guardians,L,1,3,9,False,,,,,,,,,,,17,20,
824117,2026-05-07,1,N,home,CLE,Cleveland Guardians,L,5,8,9,False,,,,,,,,,,,17,21,
824116,2026-05-08,1,N,home,DET,Detroit Tigers,W,4,3,9,False,,,,,,,,,,,18,21,
824115,2026-05-09,1,N,home,DET,Detroit Tigers,W,5,1,9,False,,,,,,,,,,,19,21,
824113,2026-05-10,1,N,home,DET,Detroit Tigers,L,3,6,9,False,,,,,,,,,,,19,22,
824604,2026-05-12,1,N,away,CWS,Chicago White Sox,L,5,6,9,False,,,,,,,,,,,19,23,
824603,2026-05-13,1,N,away,CWS,Chicago White Sox,L,5,6,9,False,,,,,,,,,,,19,24,
824602,2026-05-14,1,N,away,CWS,Chicago White Sox,L,2,6,9,False,,,,,,,,,,,19,25,
823061,2026-05-15,1,N,away,STL,St. Louis Cardinals,L,4,5,9,False,,,,,,,,,,,19,26,
823060,2026-05-16,1,N,away,STL,St. Louis Cardinals,L,2,4,9,False,,,,,,,,,,,19,27,
823058,2026-05-17,1,N,away,STL,St. Louis Cardinals,W,2,0,9,False,,,,,,,,,,,20,27,
824114,2026-05-18,1,N,home,BOS,Boston Red Sox,L,1,3,9,False,,,,,,,,,,,20,28,
824112,2026-05-19,1,N,home,BOS,Boston Red Sox,L,1,7,9,False,,,,,,,,,,,20,29,
824111,2026-05-20,1,N,home,BOS,Boston Red Sox,L,3,4,9,False,,,,,,,,,,,20,30,
824110,2026-05-22,1,N,home,SEA,Seattle Mariners,L,0,2,9,False,,,,,,,,,,,20,31,
824109,2026-05-23,1,N,home,SEA,Seattle Mariners,W,5,0,9,False,,,,,,,,,,,21,31,
824108,2026-05-24,1,N,home,SEA,Seattle Mariners,W,8,6,9,False,,,,,,,,,,,22,31,
824107,2026-05-25,1,N,home,NYY,New York Yankees,L,3,4,9,False,,,,,,,,,,,22,32,
824106,2026-05-26,1,N,home,NYY,New York Yankees,L,1,15,9,False,,,,,,,,,,,22,33,
824104,2026-05-27,1,N,home,NYY,New York Yankees,L,0,7,9,False,,,,,,,,,,,22,34,
822894,2026-05-29,1,N,away,TEX,Texas Rangers,L,1,9,9,False,,,,,,,,,,,22,35,
822893,2026-05-30,1,N,away,TEX,Texas Rangers,L,6,7,9,False,,,,,,,,,,,22,36,
822895,2026-05-31,1,N,away,TEX,Texas Rangers,L,3,6,9,False,,,,,,,,,,,22,37,
824510,2026-06-01,1,N,away,CIN,Cincinnati Reds,W,9,2,9,False,,,,,,,,,,,23,37,
824511,2026-06-02,1,N,away,CIN,Cincinnati Reds,L,3,4,9,False,,,,,,,,,,,23,38,
824509,2026-06-03,1,N,away,CIN,Cincinnati Reds,W,5,2,9,False,,,,,,,,,,,24,38,
823698,2026-06-04,1,N,away,MIN,Minnesota Twins,W,8,6,9,False,,,,,,,,,,,25,38,
823699,2026-06-05,1,N,away,MIN,Minnesota Twins,L,3,5,9,False,,,,,,,,,,,25,39,
823697,2026-06-06,1,N,away,MIN,Minnesota Twins,W,3,2,9,False,,,,,,,,,,,26,39,
